"Own_functional_mobile","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69"
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Oti","Male",244,629,587,668,562,341,204,109,75,42,26
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Oti","Female",157,379,323,294,181,67,35,16,23,26,5
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Northern","Male",919,4239,4374,4670,3648,2156,1416,698,388,307,154
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Northern","Female",873,3728,2839,2526,1616,700,353,209,178,138,70
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Savannah","Male",136,222,505,725,542,303,179,94,59,51,27
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Savannah","Female",46,175,317,254,173,49,36,16,15,14,10
"Smart phone only","Tertiary - Bachelor's Degree","Urban","North East","Male",150,341,402,452,371,216,107,66,40,29,12
"Smart phone only","Tertiary - Bachelor's Degree","Urban","North East","Female",60,131,197,195,111,44,15,11,5,10,4
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Upper East","Male",279,933,1150,1517,1292,731,402,229,131,131,62
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Upper East","Female",325,727,813,985,722,350,155,95,76,75,48
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Upper West","Male",309,1921,1759,1515,1192,723,356,176,146,121,79
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Upper West","Female",310,1469,1068,930,680,321,145,105,71,72,33
"Non Smart phone only","Never attended","Rural","Ghana","Male",16162,34155,45180,57458,58868,56507,46814,38805,26051,22400,14424
"Non Smart phone only","Never attended","Rural","Ghana","Female",14768,39229,52067,67799,72359,71098,61101,54733,38971,33378,21059
"Non Smart phone only","Never attended","Rural","Western","Male",671,2114,3312,4042,4425,3684,3251,2425,1578,1202,776
"Non Smart phone only","Never attended","Rural","Western","Female",670,2379,3828,4678,5281,4786,4298,3625,2459,1871,1215
"Non Smart phone only","Never attended","Rural","Central","Male",352,964,1581,2044,2616,2698,2619,2419,1903,1676,1254
"Non Smart phone only","Never attended","Rural","Central","Female",355,1271,2065,3210,4744,5371,5965,5839,4975,4379,3045
"Non Smart phone only","Never attended","Rural","Greater Accra","Male",185,443,570,867,963,1003,902,767,560,479,361
"Non Smart phone only","Never attended","Rural","Greater Accra","Female",163,547,1017,1595,1882,1917,1809,1642,1262,1192,724
"Non Smart phone only","Never attended","Rural","Volta","Male",354,879,1203,1610,1833,1744,1679,1532,1113,981,720
"Non Smart phone only","Never attended","Rural","Volta","Female",280,1069,1859,2855,3796,4265,4740,5043,4102,3677,2709
"Non Smart phone only","Never attended","Rural","Eastern","Male",613,1547,2121,2852,3578,3417,3096,2702,2062,1739,1237
"Non Smart phone only","Never attended","Rural","Eastern","Female",476,1494,2553,3879,5250,5966,5895,5746,4563,3937,2766
"Non Smart phone only","Never attended","Rural","Ashanti","Male",964,2480,4146,5576,6651,6296,5720,4793,3261,2681,1790
"Non Smart phone only","Never attended","Rural","Ashanti","Female",1031,3260,5372,7750,9114,8726,8085,7292,5258,4364,2916
"Non Smart phone only","Never attended","Rural","Western North","Male",362,1250,1984,2980,3594,3242,2810,2159,1441,1174,613
"Non Smart phone only","Never attended","Rural","Western North","Female",454,1639,2549,3645,3917,3563,3056,2537,1622,1128,615
"Non Smart phone only","Never attended","Rural","Ahafo","Male",136,452,698,1157,1365,1298,1208,949,681,505,336
"Non Smart phone only","Never attended","Rural","Ahafo","Female",172,596,964,1401,1643,1597,1308,1151,773,613,392
"Non Smart phone only","Never attended","Rural","Bono","Male",374,974,1385,1868,2216,2108,1904,1666,1216,930,617
"Non Smart phone only","Never attended","Rural","Bono","Female",359,1092,1576,2085,2643,2596,2503,2234,1809,1477,841
"Non Smart phone only","Never attended","Rural","Bono East","Male",945,2166,2586,3406,3469,3440,2939,2359,1555,1244,768
"Non Smart phone only","Never attended","Rural","Bono East","Female",894,2268,2726,3543,3712,3558,2781,2380,1548,1189,677
"Non Smart phone only","Never attended","Rural","Oti","Male",838,1676,2176,2626,2565,2505,1990,1632,1100,862,490
"Non Smart phone only","Never attended","Rural","Oti","Female",697,1768,2070,2913,2922,2645,2013,1650,1138,904,544
"Non Smart phone only","Never attended","Rural","Northern","Male",4370,8339,9922,11378,9260,9492,6321,5391,3015,3207,1750
"Non Smart phone only","Never attended","Rural","Northern","Female",3964,9646,10896,11821,9373,7986,4772,3659,1843,1940,864
"Non Smart phone only","Never attended","Rural","Savannah","Male",1523,2831,3222,3939,3294,3249,2225,1867,1043,1016,595
"Non Smart phone only","Never attended","Rural","Savannah","Female",1395,2797,2881,3257,2641,2436,1568,1215,622,601,298
"Non Smart phone only","Never attended","Rural","North East","Male",1515,2390,2770,3126,2789,2457,1832,1367,807,758,465
"Non Smart phone only","Never attended","Rural","North East","Female",1412,2611,2780,3138,2522,2172,1432,1096,668,567,317
"Non Smart phone only","Never attended","Rural","Upper East","Male",1520,2805,3927,5478,5904,5741,4917,4144,2865,2435,1692
"Non Smart phone only","Never attended","Rural","Upper East","Female",1365,3938,5450,7585,8318,8993,7432,6587,4357,3790,2162
"Non Smart phone only","Never attended","Rural","Upper West","Male",1440,2845,3577,4509,4346,4133,3401,2633,1851,1511,960
"Non Smart phone only","Never attended","Rural","Upper West","Female",1081,2854,3481,4444,4601,4521,3444,3037,1972,1749,974
"Non Smart phone only","Never attended","Urban","Ghana","Male",5016,12469,18223,25250,27634,28495,25368,21041,13902,12887,9081
"Non Smart phone only","Never attended","Urban","Ghana","Female",8058,23641,36347,50863,56492,57019,51565,46183,34222,31545,22467
"Non Smart phone only","Never attended","Urban","Western","Male",222,674,1224,1442,1544,1545,1384,1098,684,638,416
"Non Smart phone only","Never attended","Urban","Western","Female",282,935,1596,2243,2914,3051,2968,2626,1954,1632,1172
"Non Smart phone only","Never attended","Urban","Central","Male",326,918,1471,2069,2664,2726,2793,2100,1506,1361,907
"Non Smart phone only","Never attended","Urban","Central","Female",353,1345,2479,3843,5273,5577,5634,5138,3960,3711,2710
"Non Smart phone only","Never attended","Urban","Greater Accra","Male",567,1957,2959,3982,4119,4077,3354,2690,1815,1543,1132
"Non Smart phone only","Never attended","Urban","Greater Accra","Female",1444,3990,6182,8620,10070,9816,9107,7935,6035,5714,4246
"Non Smart phone only","Never attended","Urban","Volta","Male",112,361,492,768,834,777,703,687,432,379,322
"Non Smart phone only","Never attended","Urban","Volta","Female",153,560,1050,1742,2265,2465,2522,2503,2054,2010,1479
"Non Smart phone only","Never attended","Urban","Eastern","Male",198,668,949,1330,1612,1574,1443,1320,902,822,645
"Non Smart phone only","Never attended","Urban","Eastern","Female",291,936,1629,2563,3498,3669,3850,3642,3218,2851,2295
"Non Smart phone only","Never attended","Urban","Ashanti","Male",509,1503,2163,2887,3357,3437,3187,2592,1837,1634,1220
"Non Smart phone only","Never attended","Urban","Ashanti","Female",1050,2774,4420,6225,7377,7597,7477,6874,5404,4913,3834
"Non Smart phone only","Never attended","Urban","Western North","Male",96,206,318,497,531,568,499,428,301,265,170
"Non Smart phone only","Never attended","Urban","Western North","Female",175,435,594,894,1085,1071,980,980,667,485,309
"Non Smart phone only","Never attended","Urban","Ahafo","Male",60,188,258,391,487,386,410,368,224,209,139
"Non Smart phone only","Never attended","Urban","Ahafo","Female",78,270,456,681,797,801,762,747,578,486,380
"Non Smart phone only","Never attended","Urban","Bono","Male",197,482,681,894,948,930,947,832,711,644,406
"Non Smart phone only","Never attended","Urban","Bono","Female",298,752,1030,1548,1764,1999,2133,2143,1814,1683,1186
"Non Smart phone only","Never attended","Urban","Bono East","Male",463,1009,1396,1840,2026,1870,1728,1396,882,794,590
"Non Smart phone only","Never attended","Urban","Bono East","Female",680,1856,2444,3270,3219,2988,2650,2292,1677,1410,893
"Non Smart phone only","Never attended","Urban","Oti","Male",303,566,811,930,998,967,763,622,471,340,246
"Non Smart phone only","Never attended","Urban","Oti","Female",381,954,1184,1594,1551,1375,1081,978,699,562,322
"Non Smart phone only","Never attended","Urban","Northern","Male",1028,2243,3280,4815,4897,5897,4860,4163,2426,2645,1821
"Non Smart phone only","Never attended","Urban","Northern","Female",1655,5781,8658,11104,10214,10037,6999,5720,3156,3419,1990
"Non Smart phone only","Never attended","Urban","Savannah","Male",284,574,595,986,920,940,723,605,345,365,240
"Non Smart phone only","Never attended","Urban","Savannah","Female",422,964,1202,1545,1419,1381,966,787,543,482,309
"Non Smart phone only","Never attended","Urban","North East","Male",366,489,751,1046,1123,1047,845,678,364,374,206
"Non Smart phone only","Never attended","Urban","North East","Female",423,966,1409,1801,1643,1541,1138,852,541,460,282
"Non Smart phone only","Never attended","Urban","Upper East","Male",196,357,492,824,941,1132,1076,917,663,554,376
"Non Smart phone only","Never attended","Urban","Upper East","Female",215,637,1194,1965,2161,2309,2114,1908,1204,1048,672
"Non Smart phone only","Never attended","Urban","Upper West","Male",89,274,383,549,633,622,653,545,339,320,245
"Non Smart phone only","Never attended","Urban","Upper West","Female",158,486,820,1225,1242,1342,1184,1058,718,679,388
"Non Smart phone only","Primary","Rural","Ghana","Male",5662,8798,9795,10418,11372,8813,7756,5965,4287,3335,2135
"Non Smart phone only","Primary","Rural","Ghana","Female",5279,10740,12510,14423,16160,13556,12444,9919,6889,5707,3517
"Non Smart phone only","Primary","Rural","Western","Male",309,598,768,826,987,645,670,483,348,213,161
"Non Smart phone only","Primary","Rural","Western","Female",312,864,1063,1222,1325,1044,883,663,404,316,169
"Non Smart phone only","Primary","Rural","Central","Male",319,633,768,931,1150,987,985,827,648,574,336
"Non Smart phone only","Primary","Rural","Central","Female",421,866,1304,1701,2294,2120,2182,1723,1197,963,617
"Non Smart phone only","Primary","Rural","Greater Accra","Male",92,229,286,322,302,297,270,186,119,106,52
"Non Smart phone only","Primary","Rural","Greater Accra","Female",106,320,461,531,616,494,444,300,194,155,102
"Non Smart phone only","Primary","Rural","Volta","Male",316,618,787,943,1003,782,759,642,513,370,279
"Non Smart phone only","Primary","Rural","Volta","Female",302,841,1178,1643,1838,1639,1636,1483,1101,913,638
"Non Smart phone only","Primary","Rural","Eastern","Male",478,911,1188,1340,1803,1455,1405,1082,824,656,414
"Non Smart phone only","Primary","Rural","Eastern","Female",462,1162,1518,2113,2861,2547,2449,1983,1435,1229,768
"Non Smart phone only","Primary","Rural","Ashanti","Male",567,1066,1244,1384,1775,1439,1291,984,675,521,311
"Non Smart phone only","Primary","Rural","Ashanti","Female",735,1583,2041,2384,2909,2532,2295,1859,1366,1131,630
"Non Smart phone only","Primary","Rural","Western North","Male",174,255,351,489,541,452,413,301,225,160,99
"Non Smart phone only","Primary","Rural","Western North","Female",218,467,568,661,684,529,485,388,224,137,92
"Non Smart phone only","Primary","Rural","Ahafo","Male",102,191,247,279,361,303,235,192,125,107,60
"Non Smart phone only","Primary","Rural","Ahafo","Female",122,273,319,368,401,334,334,221,163,123,84
"Non Smart phone only","Primary","Rural","Bono","Male",203,305,309,348,408,322,242,180,140,110,71
"Non Smart phone only","Primary","Rural","Bono","Female",190,412,406,494,498,401,341,288,207,176,107
"Non Smart phone only","Primary","Rural","Bono East","Male",411,618,584,573,592,440,312,232,161,110,87
"Non Smart phone only","Primary","Rural","Bono East","Female",407,678,627,641,592,407,334,246,152,172,86
"Non Smart phone only","Primary","Rural","Oti","Male",274,437,442,474,455,359,273,224,153,110,74
"Non Smart phone only","Primary","Rural","Oti","Female",256,490,493,469,488,433,316,265,164,168,97
"Non Smart phone only","Primary","Rural","Northern","Male",530,610,601,415,304,239,117,99,41,39,20
"Non Smart phone only","Primary","Rural","Northern","Female",386,605,459,345,196,99,66,34,13,10,7
"Non Smart phone only","Primary","Rural","Savannah","Male",198,228,183,174,121,90,68,52,22,30,12
"Non Smart phone only","Primary","Rural","Savannah","Female",233,288,222,166,128,81,57,30,15,13,4
"Non Smart phone only","Primary","Rural","North East","Male",211,224,192,151,151,86,67,45,16,23,8
"Non Smart phone only","Primary","Rural","North East","Female",164,236,179,143,93,58,35,22,8,14,9
"Non Smart phone only","Primary","Rural","Upper East","Male",830,1101,1161,1130,932,635,476,297,190,129,102
"Non Smart phone only","Primary","Rural","Upper East","Female",540,904,1057,1060,858,601,420,302,178,124,63
"Non Smart phone only","Primary","Rural","Upper West","Male",648,774,684,639,487,282,173,139,87,77,49
"Non Smart phone only","Primary","Rural","Upper West","Female",425,751,615,482,379,237,167,112,68,63,44
"Non Smart phone only","Primary","Urban","Ghana","Male",1851,3535,4040,4616,5091,4424,4083,3018,2200,1624,1056
"Non Smart phone only","Primary","Urban","Ghana","Female",2688,5922,8149,10303,12227,10688,9975,8220,5871,4939,3047
"Non Smart phone only","Primary","Urban","Western","Male",82,205,262,276,330,254,243,174,128,91,40
"Non Smart phone only","Primary","Urban","Western","Female",106,301,461,518,689,640,595,457,259,221,128
"Non Smart phone only","Primary","Urban","Central","Male",209,487,566,679,727,699,681,567,401,315,191
"Non Smart phone only","Primary","Urban","Central","Female",301,790,1120,1431,1846,1572,1589,1296,927,762,500
"Non Smart phone only","Primary","Urban","Greater Accra","Male",207,451,633,811,896,806,753,562,393,256,176
"Non Smart phone only","Primary","Urban","Greater Accra","Female",363,890,1473,2105,2486,2287,2124,1722,1175,1017,559
"Non Smart phone only","Primary","Urban","Volta","Male",76,183,238,281,328,305,273,201,132,92,99
"Non Smart phone only","Primary","Urban","Volta","Female",124,321,556,730,790,710,691,616,422,369,282
"Non Smart phone only","Primary","Urban","Eastern","Male",153,344,390,449,552,490,492,372,301,238,163
"Non Smart phone only","Primary","Urban","Eastern","Female",204,539,815,1097,1549,1433,1448,1210,1036,878,565
"Non Smart phone only","Primary","Urban","Ashanti","Male",192,492,597,685,788,714,648,479,374,262,162
"Non Smart phone only","Primary","Urban","Ashanti","Female",425,970,1335,1774,2225,2065,1859,1583,1192,960,589
"Non Smart phone only","Primary","Urban","Western North","Male",22,52,81,79,101,77,68,55,46,35,25
"Non Smart phone only","Primary","Urban","Western North","Female",58,109,140,195,230,152,153,127,95,51,30
"Non Smart phone only","Primary","Urban","Ahafo","Male",48,61,87,107,113,105,98,63,49,37,26
"Non Smart phone only","Primary","Urban","Ahafo","Female",64,126,160,220,257,198,208,167,123,119,69
"Non Smart phone only","Primary","Urban","Bono","Male",84,162,157,163,210,150,173,123,105,73,54
"Non Smart phone only","Primary","Urban","Bono","Female",152,254,310,377,470,369,344,312,234,195,135
"Non Smart phone only","Primary","Urban","Bono East","Male",197,324,289,293,311,239,199,113,92,56,36
"Non Smart phone only","Primary","Urban","Bono East","Female",282,513,541,538,545,387,339,263,154,149,63
"Non Smart phone only","Primary","Urban","Oti","Male",96,132,128,153,136,107,89,63,43,43,20
"Non Smart phone only","Primary","Urban","Oti","Female",124,220,213,235,229,177,154,115,71,69,44
"Non Smart phone only","Primary","Urban","Northern","Male",253,337,311,296,223,197,113,90,46,43,22
"Non Smart phone only","Primary","Urban","Northern","Female",261,442,517,475,329,248,144,104,29,34,24
"Non Smart phone only","Primary","Urban","Savannah","Male",41,55,43,34,31,32,22,16,6,14,2
"Non Smart phone only","Primary","Urban","Savannah","Female",67,98,81,87,70,34,26,17,10,10,5
"Non Smart phone only","Primary","Urban","North East","Male",50,57,43,74,47,53,19,18,13,5,6
"Non Smart phone only","Primary","Urban","North East","Female",49,91,75,77,74,48,30,25,15,11,5
"Non Smart phone only","Primary","Urban","Upper East","Male",89,115,157,157,195,131,153,84,50,48,25
"Non Smart phone only","Primary","Urban","Upper East","Female",50,131,212,313,299,263,204,157,77,62,36
"Non Smart phone only","Primary","Urban","Upper West","Male",52,78,58,79,103,65,59,38,21,16,9
"Non Smart phone only","Primary","Urban","Upper West","Female",58,127,140,131,139,105,67,49,52,32,13
"Non Smart phone only","Secondary","Rural","Ghana","Male",0,0,0,0,0,1,3,0,0,0,0
"Non Smart phone only","Secondary","Rural","Ghana","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Western","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Western","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Central","Male",0,0,0,0,0,1,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Central","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Greater Accra","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Greater Accra","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Volta","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Volta","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Eastern","Male",0,0,0,0,0,0,2,0,0,0,0
"Non Smart phone only","Secondary","Rural","Eastern","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Ashanti","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Ashanti","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Western North","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Western North","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Ahafo","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Ahafo","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Bono","Male",0,0,0,0,0,0,1,0,0,0,0
"Non Smart phone only","Secondary","Rural","Bono","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Bono East","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Bono East","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Oti","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Oti","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Northern","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Northern","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Savannah","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Savannah","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","North East","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","North East","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Upper East","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Upper East","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Upper West","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Rural","Upper West","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Ghana","Male",0,0,0,0,0,0,1,0,0,0,0
"Non Smart phone only","Secondary","Urban","Ghana","Female",0,0,0,0,0,0,1,0,0,0,2
"Non Smart phone only","Secondary","Urban","Western","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Western","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Central","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Central","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Greater Accra","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Greater Accra","Female",0,0,0,0,0,0,1,0,0,0,0
"Non Smart phone only","Secondary","Urban","Volta","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Volta","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Eastern","Male",0,0,0,0,0,0,1,0,0,0,0
"Non Smart phone only","Secondary","Urban","Eastern","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Ashanti","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Ashanti","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Western North","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Western North","Female",0,0,0,0,0,0,0,0,0,0,1
"Non Smart phone only","Secondary","Urban","Ahafo","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Ahafo","Female",0,0,0,0,0,0,0,0,0,0,1
"Non Smart phone only","Secondary","Urban","Bono","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Bono","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Bono East","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Bono East","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Oti","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Oti","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Northern","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Northern","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Savannah","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Savannah","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","North East","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","North East","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Upper East","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Upper East","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Upper West","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Secondary","Urban","Upper West","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Ghana","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Ghana","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Western","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Western","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Central","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Central","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Greater Accra","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Greater Accra","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Volta","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Volta","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Eastern","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Eastern","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Ashanti","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Ashanti","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Western North","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Western North","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Ahafo","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Ahafo","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Bono","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Bono","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Bono East","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Bono East","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Oti","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Oti","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Northern","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Northern","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Savannah","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Savannah","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","North East","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","North East","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Upper East","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Upper East","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Upper West","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Rural","Upper West","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Urban","Ghana","Male",1,1,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Urban","Ghana","Female",1,2,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Urban","Western","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Urban","Western","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Urban","Central","Male",0,1,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Urban","Central","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Urban","Greater Accra","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Urban","Greater Accra","Female",1,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Urban","Volta","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Urban","Volta","Female",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Urban","Eastern","Male",0,0,0,0,0,0,0,0,0,0,0
"Non Smart phone only","Tertiary - Bachelor's Degree","Urban","Eastern","Female",0,0,0,0,0,0,0,0,0,0,0
